YearWeek,pro_R,pro_D,era,arms_race_index,ari_rolling,Cycle
2011-10,438425.7042,486157.6995,post_CU,0.9018178764851589,0.7532067366374672,2012
2011-11,589237.528,676503.3011,post_CU,0.8710046603496168,0.8676667823570342,2012
2011-12,396536.5547,159294.4276,post_CU,0.40171435826519025,0.7424201017732032,2012
2011-13,1548736.4937,1078030.9034,post_CU,0.6960712217896644,0.7176520292224076,2012
2011-14,370518.61,3310988.5886000004,post_CU,0.11190573452162454,0.520173993731524,2012
2011-15,2206292.0473,3129528.358,post_CU,0.7049918693531136,0.4786707959823982,2012
2011-16,1654958.1785,2528128.8934,post_CU,0.6546178016557928,0.5418966568300488,2012
2011-17,2281107.4154,3858912.5432,post_CU,0.5911270053061097,0.5156606027091601,2012
2011-18,2313595.4886000003,2575317.9694,post_CU,0.8983727508953094,0.7122773568025814,2012
2011-19,3347328.8034999995,2645353.1984,post_CU,0.7902878246182428,0.7336013456188637,2012
2011-20,5723795.4356,2280628.449,post_CU,0.39844688278258356,0.6695586159005613,2012
2011-21,3518687.1973000006,1433658.0126,post_CU,0.407441165472194,0.6236371559420825,2012
2011-22,2819432.9921999997,3474082.0905999998,post_CU,0.8115619949881676,0.601934466965297,2012
2011-23,3205421.4005,3802301.9804000002,post_CU,0.8430212584437576,0.6151178254216757,2012
2011-24,2198967.3992,4486282.328,post_CU,0.49015359231310507,0.6380445028043061,2012
2011-25,4265510.1137,2730771.1409,post_CU,0.6401980227708961,0.6962337171289816,2012
2011-26,9370157.1139,5054995.057200001,post_CU,0.5394781534347225,0.6282127567406204,2012
2011-27,1344919.9621000001,1012458.7704,post_CU,0.7528022476661848,0.605658004046227,2012
2011-28,1605503.537,2047907.9280000003,post_CU,0.7839725190028171,0.679112735718655,2012
2011-29,2117118.5728,1607363.6138999998,post_CU,0.7592222913495946,0.7088688028633297,2012
2011-30,2517787.5734,3342521.4504,post_CU,0.7532599598122837,0.7623142544577199,2012
2011-31,1433962.8094,1731100.2291,post_CU,0.8283534282388246,0.78120204960088,2012
2011-32,1843684.5471000003,1428139.0134,post_CU,0.7746113702836924,0.7788617624210988,2012
2011-33,4107140.9621,1395704.0075,post_CU,0.3398237412300478,0.6740121248912121,2012
2011-34,5344458.128900001,1398000.8691,post_CU,0.2615795344228354,0.5510920185438501,2012
2011-35,8267249.8931,3366230.2872,post_CU,0.4071765497265927,0.4457977989157921,2012
2011-36,2723036.9221,2301547.8507999997,post_CU,0.8452136040171835,0.4634483573491649,2012
2011-37,5091489.031199999,3811660.875,post_CU,0.7486338184453754,0.5656508766529967,2012
2011-38,4752805.358399999,3582167.9344,post_CU,0.7536954838827891,0.6886798640179851,2012
2011-39,12804698.6232,9737215.4638,post_CU,0.7604408155423333,0.7769959304719203,2012
2011-40,1818873.5433000003,1743766.9854,post_CU,0.9587071029887356,0.8053693052148083,2012
2011-41,3685541.6741,3059968.0133,post_CU,0.8302627629484712,0.8257765413405823,2012
2011-42,5389135.3527,2493150.7391999997,post_CU,0.46262537049675534,0.7530090129940739,2012
2011-43,4196371.586,1793476.0778,post_CU,0.42738733714226423,0.6697456433940566,2012
2011-44,5864554.407799999,1885203.5862,post_CU,0.32145725917260376,0.5104331824400237,2012
2011-45,4811154.8958,1904845.2907,post_CU,0.39592266970304263,0.40184815912866645,2012
2011-46,5878214.4751,1719073.0018000002,post_CU,0.292448159059517,0.3593038562693569,2012
2011-47,4253020.2484,1402017.6555,post_CU,0.32965224090514117,0.33487008221007614,2012
2011-48,5386354.0819,2798825.1907,post_CU,0.5196140372770914,0.38440927673619807,2012
2011-49,8200298.0103,3366888.8660000004,post_CU,0.41058128153038015,0.38807392969303245,2012
2011-50,9055220.377500001,5611615.2455,post_CU,0.6197105107947992,0.469889517626853,2012
2011-51,5997911.172,2987399.1609000005,post_CU,0.49807325837802524,0.511994771995074,2012
2011-52,10889863.0731,11310859.571,post_CU,0.962779442600508,0.6227861233259282,2012
2012-00,176314.06320000003,119038.11809999999,post_CU,0.6751481755880717,0.688927846840351,2012
2012-01,4330250.859,2579602.8137,post_CU,0.5957167142726961,0.6829293977098253,2012
2012-02,9412647.6928,11221374.496199999,post_CU,0.8388141484795374,0.7681146202352033,2012
2012-03,7107118.433800001,7132582.573600001,post_CU,0.9964298850329121,0.7765272308433042,2012
2012-04,10768057.291199999,11589884.713,post_CU,0.9290909752641299,0.840012930762319,2012
2012-05,3684163.285,5761524.9252,post_CU,0.6394423929133851,0.8509443504224911,2012
2012-06,5232663.0169,3929870.3268000004,post_CU,0.7510268316739769,0.8289975212211009,2012
2012-07,9748539.2092,6984790.1431,post_CU,0.7164960814342559,0.759014070321437,2012
2012-08,7331499.2245000005,11145971.3057,post_CU,0.6577712272371188,0.6911841333146841,2012
2012-09,14699306.007100001,12338684.7265,post_CU,0.8394059366163421,0.7411750192404234,2012
2012-10,5358695.132999999,7878172.6958,post_CU,0.6801951848373189,0.7234671075312589,2012
2012-11,5251480.137200001,7731877.0353,post_CU,0.6791986102759123,0.7141427397416731,2012
2012-12,5231730.9374,5923446.8645,post_CU,0.88322408507696,0.7705059542016334,2012
2012-13,7568923.6854,16155233.2359,post_CU,0.4685121888912388,0.6777825172703574,2012
2012-14,1518388.8016000001,3025958.6775,post_CU,0.5017876856317381,0.6331806424689623,2012
2012-15,5973019.8869,4580234.5809,post_CU,0.7668205811511443,0.6550861351877703,2012
2012-16,5033104.115600001,5148845.2576,post_CU,0.9775209515513875,0.6786603518063772,2012
2012-17,6744723.202800001,6694076.5881,post_CU,0.9924909276219112,0.8096550364890454,2012
2012-18,9229117.837500002,5882027.1565,post_CU,0.6373336282044192,0.8435415221322156,2012
2012-19,12486703.0332,10981834.1468,post_CU,0.8794822874862315,0.8717069487159874,2012
2012-20,9219685.465099998,11170182.2408,post_CU,0.8253836209962936,0.8336726160772139,2012
2012-21,12420472.321400002,7296719.7325,post_CU,0.5874752218503019,0.7324186896343116,2012
2012-22,7415636.7483,11447834.436500002,post_CU,0.6477763798414276,0.7350293775435636,2012
2012-23,10996331.044599999,10194489.5844,post_CU,0.9270810002947518,0.7469290557456938,2012
2012-24,10061682.543,6672529.903600001,post_CU,0.6631624358136938,0.7063737594500438,2012
2012-25,18376635.856700003,9886940.088299999,post_CU,0.5380168691047597,0.6940091712636582,2012
2012-26,13476970.1473,17232313.01,post_CU,0.7820755193733565,0.7275839561466405,2012
2012-27,10802067.987699999,4722742.0526,post_CU,0.43720721420913566,0.6051155096252364,2012
2012-28,21742668.8424,12780316.2399,post_CU,0.5877988729229656,0.5862746189025543,2012
2012-29,22526768.1353,27294905.8613,post_CU,0.825310343613953,0.6580979875298527,2012
2012-30,26345783.5938,12681337.5612,post_CU,0.4813422047611566,0.5829146588768027,2012
2012-31,36181833.502100006,16732481.6362,post_CU,0.46245532679345397,0.5892266870228823,2012
2012-32,35234182.1513,13914801.2256,post_CU,0.3949233493159597,0.5410078061211308,2012
2012-33,46893663.947900005,12250548.1054,post_CU,0.2612410094252958,0.3999904725739665,2012
2012-34,36808665.810399994,16670694.9706,post_CU,0.4529013644903649,0.3928802625062686,2012
2012-35,22792987.7296,31047679.722400002,post_CU,0.7341285382158693,0.46079856536187247,2012
2012-36,31878693.229900002,32208348.6582,post_CU,0.9897649074841324,0.6095089549039157,2012
2012-37,41316983.3142,22996117.1077,post_CU,0.556577834659981,0.6833431612125869,2012
2012-38,31636709.0633,31772819.8843,post_CU,0.9957161239859841,0.8190468510864918,2012
2012-39,57946115.7033,37460352.6649,post_CU,0.6464687444574763,0.7971319026468934,2012
2012-40,61207289.064899996,26524428.5361,post_CU,0.43335408153717314,0.6580291961601537,2012
2012-41,66867534.3677,24248996.6004,post_CU,0.36264230212312637,0.6095453130259401,2012
2012-42,62683429.4922,42960477.5952,post_CU,0.6853562088613192,0.5319553342447737,2012
2012-43,132167343.6732,49399948.163499996,post_CU,0.3737681850188912,0.46378019438512746,2012
2012-44,118684525.2373,34452674.9919,post_CU,0.29028784437579114,0.42801363509478196,2012
2012-45,9486852.106600001,6156979.7234000005,post_CU,0.6490013393501297,0.4996033944015328,2012
2016-30,290.976,0.0,post_CU,0.0,0.0,2020
2016-31,436.464,0.0,post_CU,0.0,0.0,2020
2016-33,174.5856,0.0,post_CU,0.0,0.0,2020
2016-34,567.4032,0.0,post_CU,0.0,0.0,2020
2016-35,178.22279999999998,0.0,post_CU,0.0,0.0,2020
2016-49,4724.7228,0.0,post_CU,0.0,0.0,2020
2016-50,86455.03159999999,0.0,post_CU,0.0,0.0,2020
2016-51,37549.240399999995,0.0,post_CU,0.0,0.0,2020
2016-52,10456.949999999999,0.0,post_CU,0.0,0.0,2020
2017-01,-2081.6908,1.2124,post_CU,-1717.0,-429.25,2020
2017-02,-820.7948,3.6372,post_CU,-225.66666666666666,-485.6666666666667,2020
2017-03,-232.7808,0.0,post_CU,,-647.5555555555555,2020
2017-04,-193.98399999999998,0.0,post_CU,,-971.3333333333334,2020
2017-05,6652.4388,1.2124,post_CU,0.0001822489520685256,-112.8332422088573,2020
2017-06,-196.40879999999999,3.6372,post_CU,-53.99999999999999,-26.99990887552396,2020
2017-07,-1490.0395999999998,0.0,post_CU,,-26.99990887552396,2020
2017-08,-1761.6172,0.0,post_CU,,-26.99990887552396,2020
2017-09,-1323.9407999999999,1.2124,post_CU,-1092.0,-573.0,2020
2017-10,-574.6776,3.6372,post_CU,-158.0,-625.0,2020
2017-11,-837.7683999999999,0.0,post_CU,,-625.0,2020
2017-12,-1938.6275999999998,0.0,post_CU,,-625.0,2020
2017-13,-1596.7307999999998,0.0,post_CU,,-158.0,2020
2017-14,-298.25039999999996,1.2124,post_CU,-245.99999999999997,-245.99999999999997,2020
2017-15,-175.79799999999997,3.6372,post_CU,-48.33333333333333,-147.16666666666666,2020
2017-16,-1562.7836,7.2744,post_CU,-214.83333333333334,-169.7222222222222,2020
2017-17,-1168.7536,9.6992,post_CU,-120.50000000000001,-157.41666666666666,2020
2017-18,143.0632,6.061999999999999,post_CU,0.0423728813559322,-95.90607344632768,2020
2017-19,-249.75439999999998,3.6372,post_CU,-68.66666666666666,-100.98940677966101,2020
2017-20,-792.9096,0.0,post_CU,,-63.04143126177024,2020
2017-21,-212.17,0.0,post_CU,,-34.312146892655356,2020
2017-22,-174.5856,556.4916,post_CU,-0.3137254901960785,-34.49019607843137,2020
2017-23,-1888.9191999999998,1.2124,post_CU,-1558.0,-779.156862745098,2020
2017-24,-760.1747999999999,2.4248,post_CU,-313.5,-623.937908496732,2020
2017-25,-2598.1731999999997,0.0,post_CU,,-623.937908496732,2020
2017-26,-58.195199999999986,714.1036,post_CU,-0.08149405772495753,-623.8604980192416,2020
2017-27,-567.4032,135.78879999999998,post_CU,-4.178571428571429,-105.92002182876547,2020
2017-28,-526.1816,3.6372,post_CU,-144.66666666666666,-49.64224405098768,2020
2017-29,-1035.3896,1.2124,post_CU,-854.0,-250.73168303824076,2020
2017-30,-600.1379999999999,0.0,post_CU,,-334.281746031746,2020
2017-31,-35.159600000000005,912.9372,post_CU,-0.03851261620185924,-332.9017264276228,2020
2017-32,-3535.3584,3.6372,post_CU,-972.0,-608.6795042054006,2020
2017-33,-2436.924,1.2124,post_CU,-2010.0,-994.012837538734,2020
2017-34,-1755.5552,0.0,post_CU,,-994.012837538734,2020
2017-35,381.90599999999995,991.7432,post_CU,0.3850855745721271,-993.8716381418093,2020
2017-36,-1223.3116,3.6372,post_CU,-336.3333333333333,-781.9827492529204,2020
2017-37,315.22400000000005,1.2124,post_CU,0.0038461538461538455,-111.98146720163834,2020
2017-38,-5073.893999999999,2.4248,post_CU,-2092.5,-607.1111004012288,2020
2017-39,-147.91279999999998,991.7432,post_CU,-0.14914425427872857,-607.2446578584415,2020
2017-40,-598.9255999999999,2.4248,post_CU,-246.99999999999997,-584.9113245251082,2020
2017-41,-4585.2968,3.6372,post_CU,-1260.6666666666667,-900.0789527302363,2020
2017-42,321.2859999999999,2.4248,post_CU,0.0075471698113207565,-376.9520659377836,2020
2017-43,-181.85999999999999,1.2124,post_CU,-150.0,-414.4147798742139,2020
2017-44,-812.308,1048.7259999999999,post_CU,-0.7745664739884394,-352.858421492711,2020
2017-45,-704.4043999999999,4.8496,post_CU,-145.25,-74.00425482604427,2020
2017-46,-647.4215999999999,4.8496,post_CU,-133.5,-107.38114161849711,2020
2017-47,-47.28359999999991,2.4248,post_CU,-19.499999999999964,-74.75614161849711,2020
2017-48,2519.3671999999997,982.044,post_CU,0.3897978825794033,-74.46505052935515,2020
2017-49,-4725.9352,7.2744,post_CU,-649.6666666666666,-200.5692171960218,2020
2017-50,-425.5524,7.2744,post_CU,-58.5,-181.8192171960218,2020
2017-51,-1639.1648,4.8496,post_CU,-338.0,-261.4442171960218,2020
2017-52,-613.4744,2.4248,post_CU,-253.0,-324.79166666666663,2020
2018-01,-311.5868,791.6972,post_CU,-0.39356814701378257,-162.47339203675344,2020
2018-02,-389.18039999999996,13.3364,post_CU,-29.18181818181818,-155.143846582208,2020
2018-03,-1561.5711999999999,7.2744,post_CU,-214.66666666666666,-124.31051324887466,2020
2018-04,-665.6075999999999,3.6372,post_CU,-182.99999999999997,-106.81051324887466,2020
2018-05,-2070.7792,807.4584,post_CU,-2.5645645645645647,-107.35326235326234,2020
2018-06,-487.3848,10.9116,post_CU,-44.666666666666664,-111.22447447447448,2020
2018-07,60.61999999999993,10.9116,post_CU,0.1800000000000002,-57.512807807807796,2020
2018-08,-3828.7592,4.8496,post_CU,-789.5,-209.1378078078078,2020
2018-09,-562.5536,697.1299999999999,post_CU,-0.8069565217391305,-208.69840579710146,2020
2018-10,-191.55919999999998,15.761199999999999,post_CU,-12.153846153846153,-200.5702006688963,2020
2018-11,363.71999999999997,10.9116,post_CU,0.030000000000000002,-200.6077006688963,2020
2018-12,-1226.9488,6.061999999999999,post_CU,-202.4,-53.83270066889632,2020
2018-13,-317.64879999999994,515.27,post_CU,-0.616470588235294,-53.78507918552037,2020
2018-14,-3701.4572,135.78879999999998,post_CU,-27.258928571428573,-57.561349789915965,2020
2018-15,343.10920000000004,13.3364,post_CU,0.03886925795053003,-57.559132475428335,2020
2018-16,-135.78879999999998,8.486799999999999,post_CU,-16.0,-10.959132475428333,2020
2018-17,-122.45239999999998,4.8496,post_CU,-25.249999999999996,-17.117514828369508,2020
2018-18,3228.6211999999996,841.4055999999999,post_CU,0.26060833646263615,-10.237630601396708,2020
2018-19,-135.78879999999998,19.3984,post_CU,-6.999999999999999,-11.997347915884339,2020
2018-20,-54.558,8.486799999999999,post_CU,-6.42857142857143,-9.604490773027198,2020
2018-21,166.09879999999998,7.2744,post_CU,0.043795620437956206,-3.2810418679177094,2020
2018-22,3758.4399999999996,848.68,post_CU,0.22580645161290325,-3.2897423391301426,2020
2018-23,636.51,15.761199999999999,post_CU,0.02476190476190476,-1.5335518629396663,2020
2018-24,484.96,9.6992,post_CU,0.02,0.07859099420319106,2020
2018-25,0.0,8.486799999999999,post_CU,0.0,0.06764208909370201,2020
2018-26,9925.9188,3614.1643999999997,post_CU,0.3641138390130695,0.10221893594374357,2020
2018-27,30.31,531.0312,post_CU,0.05707762557077625,0.11029786614596143,2020
2018-28,121.24,489.8096,post_CU,0.24752475247524752,0.1671790542647733,2020
2018-29,-21.8232,243.6924,post_CU,-0.08955223880597016,0.14479099456328076,2020
2018-30,1617.3416,304.31239999999997,post_CU,0.1881559220389805,0.10080151531975853,2020
2018-31,1500.9512,1018.4159999999999,post_CU,0.678513731825525,0.2561605418834457,2020
2018-32,412.21599999999995,122.45239999999998,post_CU,0.29705882352941176,0.2685440596469868,2020
2018-33,-838.9807999999999,872.928,post_CU,-0.961111111111111,0.05065434157070159,2020
2018-34,-841.4055999999998,7023.4331999999995,post_CU,-0.11979975832901776,-0.026334578521297988,2020
2018-35,-898.3883999999999,6149.292799999999,post_CU,-0.14609621451104102,-0.2324870651054395,2020
2018-36,939.6099999999999,4053.0531999999994,post_CU,0.23182769967095423,-0.24879484607005387,2020
2018-37,-219.44439999999997,992.9555999999999,post_CU,-0.221001221001221,-0.06376737354258136,2020
